"RT @RedTRaccoon: You can no longer defend this.

Make up any excuse or reasoning you want, it's intentional and it's racist.",-0.05
RT @nicolebyer: Everyone in this looks sick,-0.7142857142857143
"RT @RealSaavedra: Good.

It came from China.",0.7
RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,0.0
Pretty much any corona virus germ that wants to or has entered my body these passed hours are all being bodied by these shots of henny https://t.co/HLsSEnRksu,0.2166666666666666
RT @FernandoAmandi: China’s irresponsible and criminal behavior in the wake of COVID-19 will leave it in its weakest global position in mem…,-0.2
"RT @MySportsUpdate: #Rams are also releasing veteran LB Clay Matthews, per @MikeGarafolo.",-0.6499999999999999
RT @MarleeMatlin: Pls RT. Dear @WhiteHouse news &amp; press conferences around the country during this Corona Virus Emergency have  sign langua…,0.0
RT @RealbosstalkDt: Lets start a resource thread for loans and grants for small businesses affected by corona. We'll start: (PLEASE SHARE)…,-0.5
"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",-0.3528571428571428
RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,0.0
"@citizentvkenya But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole facility be set aside for corona virus?",0.3
RT @nicolebyer: Everyone in this looks sick,-0.7142857142857143
"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",0.5
"RT @everywhereist: If he wasn't so vain as to eschew wearing the glasses he OBVIOUSLY needs, the font wouldn't be so big, and we wouldn't h…",0.0
RT @LiILevi: The only man who can save us from corona virus https://t.co/Qoc1QhVYm5,0.0
RT @askjillian: Disgusting. But let’s clutch our pearls bc @RickWilson’s riff on #bebest These ppl are actively killing Americans.,-0.5666666666666667
RT @shookytwts: only armys can go “OMG THIRD BEST SELLING ALBUM WW!!!!” Then “.... Wait. Third best selling album ww 🤨?”,-0.1625
RT @pattonoswalt: this incompetent racist asshole,-0.35
RT @BrettSVergara: I’m setting JoJo’s Corona PSA song as my new ringtone https://t.co/sWPUmqMjjj,0.1363636363636363
RT @MakedaMorrison: Day 5: We have rediscovered farming,0.0
"@dinosaurspice Sigh,,rip,,",0.0
"RT @AndersFoghR: We must bring Taiwan fully into the @WHO now. 

To date, Taiwan has around 100 cases of #COVID2019 despite its proximity t…",0.0
"RT @joncoopertweets: “If I get corona, I get corona,” said one Ohio student on spring break in Florida. “At the end of the day, I’m not gon…",0.0
"RT @RedTRaccoon: You can no longer defend this.

Make up any excuse or reasoning you want, it's intentional and it's racist. https://t.co/M…",-0.05
